Date,Historical Adj,Volume,Daily New Cases,ROE,ROA,PM,EPS,Adj Close
2011-11-10 00:00:00,519.400024,117200,0,80.8253,-1.812,-12.6067,-3.6,488.200012
2011-11-11 00:00:00,498,65805,0,80.8253,-1.812,-12.6067,-3.6,485
2011-11-14 00:00:00,480.399994,78890,0,80.8253,-1.812,-12.6067,-3.6,481.399994
2011-11-15 00:00:00,488.200012,60490,0,80.8253,-1.812,-12.6067,-3.6,481.399994
2011-11-16 00:00:00,485,37725,0,80.8253,-1.812,-12.6067,-3.6,480.600006
2011-11-17 00:00:00,481.399994,81130,0,80.8253,-1.812,-12.6067,-3.6,495.399994
2011-11-18 00:00:00,481.399994,125210,0,80.8253,-1.812,-12.6067,-3.6,523.799988
2011-11-21 00:00:00,480.600006,129505,0,80.8253,-1.812,-12.6067,-3.6,471.600006
2011-11-22 00:00:00,495.399994,261390,0,80.8253,-1.812,-12.6067,-3.6,401.399994
2011-11-23 00:00:00,523.799988,394345,0,80.8253,-1.812,-12.6067,-3.6,339.200012
2011-11-25 00:00:00,471.600006,106255,0,80.8253,-1.812,-12.6067,-3.6,335
2011-11-28 00:00:00,401.399994,300945,0,80.8253,-1.812,-12.6067,-3.6,304.799988
2011-11-29 00:00:00,339.200012,168625,0,80.8253,-1.812,-12.6067,-3.6,320.200012
2011-11-30 00:00:00,335,120470,0,80.8253,-1.812,-12.6067,-3.6,350
2011-12-01 00:00:00,304.799988,107680,0,80.8253,-1.812,-12.6067,-3.6,379
2011-12-02 00:00:00,320.200012,182965,0,80.8253,-1.812,-12.6067,-3.6,379
2011-12-05 00:00:00,350,89695,0,80.8253,-1.812,-12.6067,-3.6,380.799988
2011-12-06 00:00:00,379,83525,0,80.8253,-1.812,-12.6067,-3.6,384.799988
2011-12-07 00:00:00,379,175600,0,80.8253,-1.812,-12.6067,-3.6,423
2011-12-08 00:00:00,380.799988,155760,0,80.8253,-1.812,-12.6067,-3.6,445.399994
2011-12-09 00:00:00,384.799988,136425,0,80.8253,-1.812,-12.6067,-3.6,469.600006
2011-12-12 00:00:00,423,113845,0,80.8253,-1.812,-12.6067,-3.6,445
2011-12-13 00:00:00,445.399994,116745,0,80.8253,-1.812,-12.6067,-3.6,466.399994
2011-12-14 00:00:00,469.600006,117060,0,80.8253,-1.812,-12.6067,-3.6,451
2011-12-15 00:00:00,445,56810,0,80.8253,-1.812,-12.6067,-3.6,461.600006
2011-12-16 00:00:00,466.399994,226600,0,80.8253,-1.812,-12.6067,-3.6,460.799988
2011-12-19 00:00:00,451,56475,0,80.8253,-1.812,-12.6067,-3.6,440
2011-12-20 00:00:00,461.600006,55215,0,80.8253,-1.812,-12.6067,-3.6,455
2011-12-21 00:00:00,460.799988,51420,0,80.8253,-1.812,-12.6067,-3.6,459.200012
2011-12-22 00:00:00,440,64825,0,80.8253,-1.812,-12.6067,-3.6,442
2011-12-23 00:00:00,455,61385,0,80.8253,-1.812,-12.6067,-3.6,456.799988
2011-12-27 00:00:00,459.200012,38560,0,80.8253,-1.812,-12.6067,-3.6,461
2011-12-28 00:00:00,442,36580,0,80.8253,-1.812,-12.6067,-3.6,452.399994
2011-12-29 00:00:00,456.799988,43760,0,80.8253,-1.812,-12.6067,-3.6,427.600006
2011-12-30 00:00:00,461,61990,0,80.8253,-1.812,-12.6067,-3.6,412.600006
2012-01-03 00:00:00,452.399994,125805,0,-8.5321,-3.3632,-13.284,-0.4,385.399994
2012-01-04 00:00:00,427.600006,72730,0,-8.5321,-3.3632,-13.284,-0.4,375.799988
2012-01-05 00:00:00,412.600006,136800,0,-8.5321,-3.3632,-13.284,-0.4,357.600006
2012-01-06 00:00:00,385.399994,73070,0,-8.5321,-3.3632,-13.284,-0.4,356.200012
2012-01-09 00:00:00,375.799988,88530,0,-8.5321,-3.3632,-13.284,-0.4,366
2012-01-10 00:00:00,357.600006,76245,0,-8.5321,-3.3632,-13.284,-0.4,383
2012-01-11 00:00:00,356.200012,84215,0,-8.5321,-3.3632,-13.284,-0.4,380
2012-01-12 00:00:00,366,67135,0,-8.5321,-3.3632,-13.284,-0.4,385.200012
2012-01-13 00:00:00,383,42845,0,-8.5321,-3.3632,-13.284,-0.4,383
2012-01-17 00:00:00,380,86060,0,-8.5321,-3.3632,-13.284,-0.4,390.200012
2012-01-18 00:00:00,385.200012,92585,0,-8.5321,-3.3632,-13.284,-0.4,411.399994
2012-01-19 00:00:00,383,80115,0,-8.5321,-3.3632,-13.284,-0.4,423.799988
2012-01-20 00:00:00,390.200012,46255,0,-8.5321,-3.3632,-13.284,-0.4,417
2012-01-23 00:00:00,411.399994,56260,0,-8.5321,-3.3632,-13.284,-0.4,415.200012
2012-01-24 00:00:00,423.799988,53820,0,-8.5321,-3.3632,-13.284,-0.4,412
2012-01-25 00:00:00,417,88145,0,-8.5321,-3.3632,-13.284,-0.4,401.600006
2012-01-26 00:00:00,415.200012,55940,0,-8.5321,-3.3632,-13.284,-0.4,390.600006
2012-01-27 00:00:00,412,62060,0,-8.5321,-3.3632,-13.284,-0.4,400.799988
2012-01-30 00:00:00,401.600006,120370,0,-8.5321,-3.3632,-13.284,-0.4,392.600006
2012-01-31 00:00:00,390.600006,77160,0,-8.5321,-3.3632,-13.284,-0.4,407.799988
2012-02-01 00:00:00,400.799988,114515,0,-8.5321,-3.3632,-13.284,-0.4,429.799988
2012-02-02 00:00:00,392.600006,257860,0,-8.5321,-3.3632,-13.284,-0.4,461.600006
2012-02-03 00:00:00,407.799988,152345,0,-8.5321,-3.3632,-13.284,-0.4,488.600006
2012-02-06 00:00:00,429.799988,124680,0,-8.5321,-3.3632,-13.284,-0.4,470.200012
2012-02-07 00:00:00,461.600006,131660,0,-8.5321,-3.3632,-13.284,-0.4,483.799988
2012-02-08 00:00:00,488.600006,437250,0,-8.5321,-3.3632,-13.284,-0.4,491.600006
2012-02-09 00:00:00,470.200012,556335,0,-8.5321,-3.3632,-13.284,-0.4,423.399994
2012-02-10 00:00:00,483.799988,101930,0,-8.5321,-3.3632,-13.284,-0.4,420.600006
2012-02-13 00:00:00,491.600006,273515,0,-8.5321,-3.3632,-13.284,-0.4,389
2012-02-14 00:00:00,423.399994,114185,0,-8.5321,-3.3632,-13.284,-0.4,387
2012-02-15 00:00:00,420.600006,69035,0,-8.5321,-3.3632,-13.284,-0.4,390.200012
2012-02-16 00:00:00,389,128055,0,-8.5321,-3.3632,-13.284,-0.4,406
2012-02-17 00:00:00,387,124555,0,-8.5321,-3.3632,-13.284,-0.4,405.200012
