Date,Historical Adj,Volume,Daily New Cases,Adj Close
2011-11-10 00:00:00,519.400024,117200,0,488.200012
2011-11-11 00:00:00,498,65805,0,485
2011-11-14 00:00:00,480.399994,78890,0,481.399994
2011-11-15 00:00:00,488.200012,60490,0,481.399994
2011-11-16 00:00:00,485,37725,0,480.600006
2011-11-17 00:00:00,481.399994,81130,0,495.399994
2011-11-18 00:00:00,481.399994,125210,0,523.799988
2011-11-21 00:00:00,480.600006,129505,0,471.600006
2011-11-22 00:00:00,495.399994,261390,0,401.399994
2011-11-23 00:00:00,523.799988,394345,0,339.200012
2011-11-25 00:00:00,471.600006,106255,0,335
2011-11-28 00:00:00,401.399994,300945,0,304.799988
2011-11-29 00:00:00,339.200012,168625,0,320.200012
2011-11-30 00:00:00,335,120470,0,350
2011-12-01 00:00:00,304.799988,107680,0,379
2011-12-02 00:00:00,320.200012,182965,0,379
2011-12-05 00:00:00,350,89695,0,380.799988
2011-12-06 00:00:00,379,83525,0,384.799988
2011-12-07 00:00:00,379,175600,0,423
2011-12-08 00:00:00,380.799988,155760,0,445.399994
2011-12-09 00:00:00,384.799988,136425,0,469.600006
2011-12-12 00:00:00,423,113845,0,445
2011-12-13 00:00:00,445.399994,116745,0,466.399994
2011-12-14 00:00:00,469.600006,117060,0,451
2011-12-15 00:00:00,445,56810,0,461.600006
2011-12-16 00:00:00,466.399994,226600,0,460.799988
2011-12-19 00:00:00,451,56475,0,440
2011-12-20 00:00:00,461.600006,55215,0,455
2011-12-21 00:00:00,460.799988,51420,0,459.200012
2011-12-22 00:00:00,440,64825,0,442
2011-12-23 00:00:00,455,61385,0,456.799988
2011-12-27 00:00:00,459.200012,38560,0,461
2011-12-28 00:00:00,442,36580,0,452.399994
2011-12-29 00:00:00,456.799988,43760,0,427.600006
2011-12-30 00:00:00,461,61990,0,412.600006
2012-01-03 00:00:00,452.399994,125805,0,385.399994
2012-01-04 00:00:00,427.600006,72730,0,375.799988
2012-01-05 00:00:00,412.600006,136800,0,357.600006
2012-01-06 00:00:00,385.399994,73070,0,356.200012
2012-01-09 00:00:00,375.799988,88530,0,366
2012-01-10 00:00:00,357.600006,76245,0,383
2012-01-11 00:00:00,356.200012,84215,0,380
2012-01-12 00:00:00,366,67135,0,385.200012
2012-01-13 00:00:00,383,42845,0,383
2012-01-17 00:00:00,380,86060,0,390.200012
2012-01-18 00:00:00,385.200012,92585,0,411.399994
2012-01-19 00:00:00,383,80115,0,423.799988
2012-01-20 00:00:00,390.200012,46255,0,417
2012-01-23 00:00:00,411.399994,56260,0,415.200012
2012-01-24 00:00:00,423.799988,53820,0,412
2012-01-25 00:00:00,417,88145,0,401.600006
2012-01-26 00:00:00,415.200012,55940,0,390.600006
2012-01-27 00:00:00,412,62060,0,400.799988
2012-01-30 00:00:00,401.600006,120370,0,392.600006
2012-01-31 00:00:00,390.600006,77160,0,407.799988
2012-02-01 00:00:00,400.799988,114515,0,429.799988
2012-02-02 00:00:00,392.600006,257860,0,461.600006
2012-02-03 00:00:00,407.799988,152345,0,488.600006
2012-02-06 00:00:00,429.799988,124680,0,470.200012
2012-02-07 00:00:00,461.600006,131660,0,483.799988
2012-02-08 00:00:00,488.600006,437250,0,491.600006
2012-02-09 00:00:00,470.200012,556335,0,423.399994
2012-02-10 00:00:00,483.799988,101930,0,420.600006
2012-02-13 00:00:00,491.600006,273515,0,389
2012-02-14 00:00:00,423.399994,114185,0,387
2012-02-15 00:00:00,420.600006,69035,0,390.200012
2012-02-16 00:00:00,389,128055,0,406
2012-02-17 00:00:00,387,124555,0,405.200012
2012-02-21 00:00:00,390.200012,74080,0,396.799988
2012-02-22 00:00:00,406,59605,0,388.200012
2012-02-23 00:00:00,405.200012,75815,0,387.799988
2012-02-24 00:00:00,396.799988,67745,0,390
2012-02-27 00:00:00,388.200012,60180,0,389.799988
2012-02-28 00:00:00,387.799988,123715,0,397.399994
2012-02-29 00:00:00,390,68545,0,394.399994
2012-03-01 00:00:00,389.799988,62585,0,390.200012
2012-03-02 00:00:00,397.399994,67660,0,384
2012-03-05 00:00:00,394.399994,151325,0,362.600006
2012-03-06 00:00:00,390.200012,81480,0,366.600006
2012-03-07 00:00:00,384,115660,0,346.399994
2012-03-08 00:00:00,362.600006,224865,0,339.600006
2012-03-09 00:00:00,366.600006,97115,0,341.200012
2012-03-12 00:00:00,346.399994,64585,0,334.799988
2012-03-13 00:00:00,339.600006,95620,0,341.200012
2012-03-14 00:00:00,341.200012,66805,0,337.600006
2012-03-15 00:00:00,334.799988,179765,0,356.799988
2012-03-16 00:00:00,341.200012,101235,0,360.399994
2012-03-19 00:00:00,337.600006,48090,0,356.399994
2012-03-20 00:00:00,356.799988,80395,0,354.399994
2012-03-21 00:00:00,360.399994,118025,0,346
2012-03-22 00:00:00,356.399994,110530,0,337.799988
2012-03-23 00:00:00,354.399994,104070,0,337.799988
2012-03-26 00:00:00,346,111630,0,347.600006
2012-03-27 00:00:00,337.799988,108440,0,365.600006
2012-03-28 00:00:00,337.799988,128200,0,356
2012-03-29 00:00:00,347.600006,56340,0,354
2012-03-30 00:00:00,365.600006,129635,0,367.600006
2012-04-02 00:00:00,356,504515,0,305.600006
2012-04-03 00:00:00,354,175050,0,300.399994
2012-04-04 00:00:00,367.600006,178480,0,290.799988
2012-04-05 00:00:00,305.600006,218540,0,283.600006
2012-04-09 00:00:00,300.399994,161910,0,277.799988
2012-04-10 00:00:00,290.799988,173100,0,271
2012-04-11 00:00:00,283.600006,121125,0,261.600006
2012-04-12 00:00:00,277.799988,140970,0,271.200012
2012-04-13 00:00:00,271,97685,0,262.399994
2012-04-16 00:00:00,261.600006,83595,0,253.399994
2012-04-17 00:00:00,271.200012,92585,0,251.600006
2012-04-18 00:00:00,262.399994,122560,0,240.800003
